,Acne_vulgaris,Acute_glomerulonephritis,Acute_hepatitis,Adverse_effects_of_medical_treatment,African_trypanosomiasis,Age-related_and_other_hearing_loss,Alcohol_use_disorders,Alopecia_areata,Alzheimer's_disease_and_other_dementias,Animal_contact,Anxiety_disorders,Aortic_aneurysm,Appendicitis,Asthma,Atrial_fibrillation_and_flutter,Attention-deficit_hyperactivity_disorder,Autism_spectrum_disorders,Bacterial_skin_diseases,Bipolar_disorder,Bladder_cancer,Blindness_and_vision_loss,Brain_and_central_nervous_system_cancer,Breast_cancer,COVID-19,Cardiomyopathy_and_myocarditis,Cervical_cancer,Chagas_disease,Chronic_kidney_disease,Chronic_obstructive_pulmonary_disease,Cirrhosis_and_other_chronic_liver_diseases,Colon_and_rectum_cancer,Conduct_disorder,Conflict_and_terrorism,Congenital_birth_defects,Cystic_echinococcosis,Cysticercosis,Decubitus_ulcer,Dengue,Depressive_disorders,Dermatitis,Diabetes_mellitus,Diarrheal_diseases,Dietary_iron_deficiency,Diphtheria,Drowning,Drug_use_disorders,Eating_disorders,Ebola,Encephalitis,Endocarditis,"Endocrine,_metabolic,_blood,_and_immune_disorders",Environmental_heat_and_cold_exposure,Esophageal_cancer,Exposure_to_forces_of_nature,Exposure_to_mechanical_forces,Eye_cancer,Falls,"Fire,_heat,_and_hot_substances",Food-borne_trematodiases,Foreign_body,Fungal_skin_diseases,Gallbladder_and_biliary_diseases,Gallbladder_and_biliary_tract_cancer,Gout,Guinea_worm_disease,Gynecological_diseases,HIV_AIDS,Headache_disorders,Hemoglobinopathies_and_hemolytic_anemias,Hodgkin_lymphoma,Hypertensive_heart_disease,Idiopathic_developmental_intellectual_disability,Idiopathic_epilepsy,Inflammatory_bowel_disease,"Inguinal,_femoral,_and_abdominal_hernia",Interpersonal_violence,Intestinal_nematode_infections,Invasive_Non-typhoidal_Salmonella_(iNTS),Iodine_deficiency,Ischemic_heart_disease,Kidney_cancer,Larynx_cancer,Leishmaniasis,Leprosy,Leukemia,Lip_and_oral_cavity_cancer,Liver_cancer,Low_back_pain,Lower_extremity_peripheral_arterial_disease,Lower_respiratory_infections,Lymphatic_filariasis,Malaria,Malignant_neoplasm_of_bone_and_articular_cartilage,Malignant_skin_melanoma,Maternal_disorders,Measles,Meningitis,Mesothelioma,Motor_neuron_disease,Multiple_myeloma,Multiple_sclerosis,Nasopharynx_cancer,Neck_pain,Neonatal_disorders,Neuroblastoma_and_other_peripheral_nervous_cell_tumors,Non-Hodgkin_lymphoma,Non-melanoma_skin_cancer,Non-rheumatic_valvular_heart_disease,Onchocerciasis,Oral_disorders,Osteoarthritis,Other_cardiovascular_and_circulatory_diseases,Other_chronic_respiratory_diseases,Other_digestive_diseases,Other_intestinal_infectious_diseases,Other_malignant_neoplasms,Other_mental_disorders,Other_musculoskeletal_disorders,Other_neglected_tropical_diseases,Other_neoplasms,Other_neurological_disorders,Other_nutritional_deficiencies,Other_pharynx_cancer,Other_sense_organ_diseases,Other_skin_and_subcutaneous_diseases,Other_transport_injuries,Other_unintentional_injuries,Other_unspecified_infectious_diseases,Otitis_media,Ovarian_cancer,Pancreatic_cancer,Pancreatitis,Paralytic_ileus_and_intestinal_obstruction,Parkinson's_disease,Pertussis,Pneumoconiosis,Poisonings,Police_conflict_and_executions,Prostate_cancer,Protein-energy_malnutrition,Pruritus,Psoriasis,Pulmonary_Arterial_Hypertension,Rabies,Rheumatic_heart_disease,Rheumatoid_arthritis,Road_injuries,Scabies,Schistosomiasis,Schizophrenia,Self-harm,Sexually_transmitted_infections_excluding_HIV,Soft_tissue_and_other_extraosseous_sarcomas,Stomach_cancer,Stroke,Sudden_infant_death_syndrome,Testicular_cancer,Tetanus,Thyroid_cancer,Tracheal,"Tracheal,_bronchus,_and_lung_cancer",Trachoma,Tuberculosis,Typhoid_and_paratyphoid,Upper_digestive_system_diseases,Upper_respiratory_infections,Urinary_diseases_and_male_infertility,Urticaria,Uterine_cancer,Varicella_and_herpes_zoster,Vascular_intestinal_disorders,Viral_skin_diseases,Vitamin_A_deficiency,Yellow_fever,Zika_virus
Motor_neuron_disease,0.99825966,0.99799526,0.99789965,0.9988681,0.99771756,0.99868286,0.99804866,0.998298,0.9995319,0.99779403,0.99770623,0.99718136,0.9969073,0.9984514,0.997516,0.9979439,0.9988515,0.99816185,0.99847686,0.9981485,0.9987348,0.99892217,0.9986533,0.99827427,0.9987079,0.9980804,0.9978647,0.9981467,0.9983219,0.99831444,0.9983905,0.99641806,0.9973781,0.9985791,0.9970836,0.99760073,0.9981093,0.997992,0.9984687,0.998603,0.99859107,0.9984198,0.99843335,0.9980281,0.99791604,0.99811363,0.9984101,0.9978522,0.9988604,0.99731576,0.99892694,0.99826205,0.99755985,0.997757,0.9984545,0.99783957,0.9978209,0.99827105,0.9974918,0.9973724,0.99709326,0.9978628,0.9975349,0.9986631,0.99748003,0.9982837,0.9986538,0.99859124,0.9987053,0.997918,0.99833757,0.99917036,0.9989284,0.9985325,0.9967769,0.9972113,0.9973215,0.99754953,0.9972421,0.99777997,0.9980812,0.9976891,0.9976696,0.99813426,0.9985504,0.9982512,0.9981018,0.99813294,0.9984568,0.9984996,0.99707335,0.9980881,0.9981899,0.9988235,0.99819267,0.9979491,0.9984185,0.9984686,1.0000002,0.99837804,0.9993403,0.9986181,0.9979453,0.9988583,0.9990395,0.99781144,0.99789906,0.9973246,0.996826,0.9984278,0.9981277,0.9986414,0.9986151,0.99857736,0.9981307,0.99859786,0.998881,0.99877656,0.9986691,0.9979917,0.99943215,0.99839664,0.9977679,0.99876636,0.9989401,0.9970389,0.99776757,0.9984658,0.99777657,0.9983713,0.99836594,0.99824476,0.9969944,0.9995626,0.99819887,0.99871635,0.9989474,0.99647677,0.9984684,0.99809057,0.9984226,0.9985204,0.998722,0.9982268,0.9978306,0.9986676,0.9976977,0.9975822,0.9978451,0.99881405,0.9976442,0.99814236,0.9981365,0.9976178,0.99866587,0.9985698,0.9978867,0.9980798,0.99791646,0.9965268,0.99840295,0.99719113,0.99842244,0.99754465,0.9984315,0.99851197,0.9985586,0.998292,0.9979784,0.9982299,0.9977298,0.9983506,0.99796695,0.9978092,0.99789643
Multiple_myeloma,0.9980215,0.9986845,0.9983079,0.9987744,0.9965918,0.9977524,0.9971672,0.99824667,0.99821734,0.99706423,0.9967565,0.997303,0.9972198,0.9983116,0.99769247,0.9967609,0.99740636,0.9980815,0.9976097,0.99895245,0.9980304,0.9990994,0.99904484,0.9974843,0.99850214,0.9984892,0.9970842,0.9984834,0.9980798,0.99858,0.9989934,0.99522305,0.9962757,0.9980538,0.9967361,0.9968671,0.99759024,0.99736947,0.9976621,0.9984754,0.9984219,0.99852026,0.9984359,0.9979337,0.99686575,0.9973319,0.99773264,0.99681056,0.99830806,0.9975313,0.99889266,0.99757886,0.99846125,0.99628687,0.99777424,0.99843794,0.99701995,0.9979166,0.9969293,0.9970085,0.9970008,0.9982824,0.99845016,0.9986077,0.99638575,0.9987349,0.99845827,0.9982381,0.9986124,0.9993877,0.99833965,0.9979822,0.99799615,0.9987815,0.9965804,0.99616075,0.99678797,0.99695617,0.99694663,0.9979749,0.9990338,0.9982024,0.9972388,0.9975588,0.99964774,0.998628,0.99880207,0.997413,0.9982652,0.9983588,0.9965303,0.99752414,0.998821,0.9993192,0.9979342,0.9976747,0.9982746,0.99915993,0.99837804,0.99999994,0.9988013,0.9989093,0.99733573,0.99834275,0.99894655,0.9993852,0.9987352,0.9974582,0.9962526,0.9982468,0.9977736,0.9985641,0.9984926,0.998935,0.9983089,0.9991691,0.9977937,0.9985776,0.9977255,0.99835384,0.99863183,0.99814945,0.99860847,0.99781305,0.9991412,0.9956574,0.9971306,0.9984332,0.99771845,0.9991,0.99903816,0.9984112,0.9971433,0.9981064,0.9980268,0.99830496,0.9982702,0.99524623,0.99902457,0.99782604,0.9984871,0.9987158,0.9983655,0.99722993,0.99780786,0.9989268,0.99662554,0.99684316,0.9973824,0.99765885,0.9966681,0.99813396,0.99899215,0.99844027,0.9982333,0.9974438,0.99850214,0.9978998,0.99856615,0.99702704,0.9991525,0.99652034,0.9982559,0.99712974,0.99883187,0.9983704,0.9989132,0.9983475,0.99860877,0.99823827,0.9978804,0.9983283,0.99762577,0.99693406,0.99686825
Multiple_sclerosis,0.9986432,0.9985479,0.99848706,0.99906695,0.9972713,0.998687,0.99831545,0.99877685,0.99929017,0.9976949,0.998185,0.99734056,0.99729514,0.99895704,0.99813056,0.9981289,0.9987059,0.99839705,0.99881595,0.9983814,0.9988605,0.99898875,0.9987433,0.9982967,0.9987067,0.9982847,0.99781567,0.99872285,0.9987998,0.99873567,0.99862826,0.99659806,0.9971849,0.99843305,0.997046,0.9976266,0.9983402,0.9979559,0.99888474,0.9989594,0.9990101,0.99866706,0.9987519,0.99833536,0.9977511,0.998364,0.99868,0.9974142,0.99895906,0.9975357,0.99918324,0.9983704,0.99783444,0.9972835,0.99847597,0.99797684,0.9981591,0.998447,0.99748063,0.99719393,0.99726415,0.99811065,0.99775434,0.9989808,0.99705106,0.9985964,0.9989455,0.99905986,0.9987314,0.9984435,0.9988328,0.9988796,0.99911875,0.9991134,0.9969681,0.99722326,0.99739814,0.9973744,0.9976399,0.99831545,0.99829257,0.99790853,0.997715,0.99823815,0.9987161,0.99833125,0.99832386,0.9985472,0.9988381,0.9988273,0.9971595,0.9980266,0.99828863,0.99893093,0.99859583,0.9982525,0.9986468,0.9985552,0.9993403,0.9988013,1.0000005,0.99861956,0.9982998,0.9989398,0.99874973,0.99825126,0.998151,0.9976697,0.99691445,0.9987154,0.9985867,0.99899954,0.9990573,0.9988412,0.99852467,0.99866265,0.9990306,0.9990237,0.9984042,0.9981083,0.9995205,0.9987566,0.9980941,0.99892765,0.9991512,0.9967217,0.99765855,0.9988641,0.99821854,0.9984768,0.9984409,0.9984715,0.9970651,0.99925876,0.99850655,0.9987132,0.9987915,0.99629253,0.9986852,0.99848574,0.9989008,0.9991898,0.99877995,0.9979998,0.9982629,0.99935746,0.9976317,0.9975437,0.9978964,0.9989751,0.9978458,0.9986117,0.9981655,0.9977978,0.99907917,0.99835265,0.99806964,0.99847645,0.99817026,0.9963618,0.99854875,0.9974137,0.9985188,0.9974801,0.9987134,0.9988375,0.9989271,0.998713,0.9982689,0.9986642,0.9980415,0.9985748,0.9982058,0.9976293,0.99764955
Nasopharynx_cancer,0.99819154,0.9983489,0.9985942,0.99876946,0.99662954,0.9983586,0.99763906,0.99823457,0.9985575,0.99705213,0.9972706,0.9975731,0.99741,0.9984845,0.99790823,0.99730134,0.9978835,0.99794006,0.997849,0.9993899,0.9983589,0.9994594,0.9994283,0.99767596,0.99855864,0.99921376,0.9971443,0.99851036,0.99840206,0.99893004,0.9995162,0.9958359,0.9962445,0.99836624,0.9970407,0.99712396,0.9980475,0.9975727,0.9981309,0.9984841,0.99878067,0.9986827,0.9984455,0.99794006,0.99740535,0.9976664,0.99804825,0.9967351,0.9983318,0.99730426,0.9991677,0.9981998,0.99931556,0.9970401,0.9983385,0.99853855,0.9974252,0.9983542,0.9974658,0.9972456,0.9969035,0.9988251,0.99923176,0.9986839,0.99663985,0.9991711,0.998474,0.9984388,0.99826497,0.9987134,0.9986298,0.99819183,0.99831975,0.99877125,0.9970759,0.9964849,0.99711657,0.9972058,0.99746186,0.9984374,0.99925846,0.99910617,0.9970966,0.99747866,0.99913156,0.99947846,0.99958175,0.9979461,0.9986965,0.9985511,0.9966199,0.9975322,0.999047,0.99928385,0.99829566,0.99770373,0.9982426,0.99890596,0.9986181,0.9989093,0.99861956,1.0,0.9979387,0.9986866,0.9992819,0.9987296,0.99949986,0.99761486,0.99625534,0.9989671,0.99837244,0.99881005,0.99866796,0.9993745,0.9985839,0.9994923,0.9981334,0.99881876,0.99797785,0.99872696,0.9989771,0.99848276,0.9995497,0.9984316,0.9992379,0.9959805,0.99738145,0.9985359,0.99817026,0.99938047,0.9994776,0.9987331,0.99725854,0.9984831,0.9982416,0.99861765,0.9985792,0.9955412,0.9993191,0.99802727,0.9984679,0.99857616,0.9987009,0.99763393,0.997946,0.99884236,0.9972369,0.9968958,0.9977206,0.99809504,0.9971307,0.99821603,0.999057,0.9994041,0.9987021,0.99779636,0.99854696,0.9979516,0.9991132,0.9973678,0.99959314,0.9969752,0.9983426,0.9971383,0.99925303,0.99856377,0.9990717,0.9979765,0.99920267,0.9982333,0.9983435,0.9984796,0.9981196,0.9970449,0.9970692
Neck_pain,0.99828076,0.997224,0.9976159,0.99881035,0.9953721,0.99870974,0.9979802,0.9980398,0.99776787,0.9977321,0.9981133,0.9980186,0.99835336,0.9983032,0.99806297,0.99777174,0.9979506,0.9979654,0.9980263,0.99794793,0.9988076,0.99799526,0.9980823,0.9978042,0.9980081,0.99818397,0.9961358,0.9980355,0.99837655,0.9980318,0.9979807,0.9965345,0.99708813,0.99864924,0.99708086,0.997252,0.99916995,0.99671704,0.99867237,0.9982983,0.998354,0.99825394,0.9982229,0.99738264,0.998173,0.9980855,0.9985908,0.9959835,0.99777055,0.99769795,0.99857175,0.99839026,0.9978505,0.99693793,0.9990209,0.9981712,0.9987506,0.9986838,0.9968703,0.99825144,0.99681777,0.99830854,0.99766856,0.99832064,0.9962752,0.9984594,0.9980746,0.9993302,0.9980716,0.9975888,0.9985514,0.9981556,0.99834234,0.99810493,0.9983595,0.9973995,0.9968494,0.9965361,0.9974377,0.9981015,0.99779934,0.99841094,0.9962084,0.9975436,0.9971707,0.9982146,0.9975693,0.99971086,0.99902517,0.9984256,0.9962362,0.9967305,0.9985536,0.9976455,0.9984946,0.99739003,0.99822927,0.99785185,0.9979453,0.99733573,0.9982998,0.9979387,0.9999999,0.9985583,0.9971904,0.9972707,0.9979572,0.99798167,0.996063,0.99886024,0.9990384,0.99876165,0.9984899,0.9984916,0.998255,0.9980533,0.99851143,0.9993618,0.99716574,0.9983913,0.9990739,0.998247,0.9982118,0.9990171,0.99861234,0.9970922,0.99860543,0.9980911,0.99865854,0.99764866,0.9976603,0.998457,0.9981255,0.99782914,0.9974209,0.99817294,0.9981586,0.9966894,0.99799126,0.9980452,0.9986762,0.9980163,0.99796796,0.99702287,0.99835384,0.9983556,0.9983795,0.9971795,0.997029,0.99797857,0.9979234,0.9979551,0.9979431,0.99743456,0.998852,0.99822426,0.9978967,0.99776715,0.99816823,0.9974801,0.99786896,0.9973008,0.99778485,0.99683446,0.9985481,0.99845266,0.99853486,0.99819565,0.998259,0.99819607,0.99802077,0.9978751,0.99769634,0.9961857,0.9959759
Neonatal_disorders,0.998781,0.9984617,0.9987061,0.9993948,0.9971499,0.9990817,0.9983896,0.9985905,0.9986857,0.998361,0.99795806,0.9981872,0.99841696,0.9991684,0.99845815,0.99809635,0.9986752,0.9987215,0.9984769,0.99857104,0.9990905,0.9987929,0.99895066,0.99849945,0.998983,0.99880534,0.9977581,0.9989092,0.99893415,0.99897546,0.99881923,0.99684685,0.997689,0.99936086,0.9977494,0.9979915,0.99906474,0.99805844,0.99884087,0.99905694,0.99926686,0.99928755,0.9993312,0.99886364,0.99876857,0.99853724,0.99880475,0.997463,0.99880177,0.9983626,0.9994707,0.99914706,0.99828464,0.99766415,0.99898815,0.9984046,0.99843705,0.9992526,0.9980283,0.9982019,0.9976241,0.998865,0.99818665,0.99884474,0.99757427,0.99916947,0.9990918,0.9991832,0.999311,0.9983787,0.99927527,0.9991265,0.99903953,0.9990211,0.99816024,0.99775517,0.99799246,0.99814695,0.9986515,0.9986304,0.9984345,0.9984347,0.9976735,0.99842095,0.998616,0.99862266,0.9984384,0.9985448,0.99918795,0.9993131,0.99741936,0.99834275,0.99855703,0.9986781,0.99968725,0.9987337,0.99907553,0.9986436,0.9988583,0.99834275,0.9989398,0.9986866,0.9985583,0.9999999,0.9986284,0.99811375,0.9984297,0.99837583,0.9971778,0.999137,0.99855113,0.9993937,0.9992319,0.9992789,0.99919105,0.99881065,0.9989101,0.9992459,0.99851114,0.99861175,0.9995105,0.9992861,0.9984211,0.99917567,0.99930847,0.99734336,0.9987691,0.99910897,0.99902123,0.9986871,0.99853987,0.9990855,0.99828523,0.9985515,0.9988978,0.99885803,0.99922574,0.9970455,0.998669,0.99918544,0.99900275,0.9986816,0.99918795,0.9982859,0.99891454,0.9988787,0.99835056,0.9980148,0.998257,0.9985498,0.99814034,0.998877,0.99841917,0.9981482,0.99925506,0.999471,0.99858576,0.9990367,0.9985441,0.9972952,0.99864095,0.99817336,0.9988329,0.9981825,0.9992072,0.99932075,0.9993296,0.99876624,0.99883634,0.9989753,0.9987783,0.99885154,0.9990618,0.9977268,0.9975571
Neuroblastoma_and_other_peripheral_nervous_cell_tumors,0.99800915,0.99820787,0.9979435,0.99864465,0.99739146,0.9980652,0.9974806,0.9979989,0.99892515,0.99721426,0.99698967,0.99700946,0.99679446,0.99822104,0.99723434,0.99723417,0.99802095,0.997884,0.9978192,0.9987784,0.99812084,0.99939066,0.9991584,0.9974504,0.9985783,0.9984093,0.99778914,0.998016,0.9977729,0.9983454,0.9989904,0.99568856,0.9963826,0.9982152,0.9969238,0.9971898,0.9973521,0.9978039,0.99786603,0.9983761,0.99846464,0.9984163,0.99827635,0.9980406,0.9970811,0.9975419,0.99785763,0.99715453,0.9985894,0.9970469,0.9989438,0.99792564,0.99816436,0.99690557,0.99801886,0.99824244,0.99681044,0.9980252,0.9973341,0.99705076,0.9968362,0.9980578,0.99824256,0.9984734,0.99705666,0.99861044,0.9983,0.9981331,0.9984227,0.99839514,0.9982221,0.99839884,0.998361,0.9984857,0.9964482,0.99634135,0.997095,0.99743015,0.9971007,0.99766815,0.9987792,0.99810445,0.9974663,0.99760956,0.99932164,0.9988384,0.99887234,0.99730176,0.9981537,0.99817216,0.9966462,0.99778754,0.99864954,0.9994185,0.9979154,0.99759793,0.9981656,0.9988903,0.9990395,0.99894655,0.99874973,0.9992819,0.9971904,0.9986284,1.0000004,0.99848133,0.9986514,0.996986,0.99631417,0.99839514,0.99767804,0.9984459,0.9981987,0.99884105,0.99811345,0.999234,0.99810696,0.99842733,0.9982455,0.99828094,0.9989082,0.9982111,0.9983685,0.9981378,0.99903905,0.995814,0.9971614,0.99812806,0.9975979,0.9990969,0.9990426,0.9982751,0.9968279,0.99890745,0.9985849,0.99842125,0.9988503,0.9954369,0.998941,0.99778,0.9982089,0.99839735,0.9986872,0.99782544,0.99740314,0.998593,0.9967457,0.99696326,0.9976612,0.99819857,0.9968239,0.997768,0.9988713,0.9983657,0.9982268,0.9978915,0.99830174,0.99799544,0.99841934,0.99669427,0.9990437,0.9965301,0.9982312,0.99729156,0.9986731,0.99818593,0.9987015,0.9979784,0.99840975,0.9980445,0.9980256,0.99841666,0.9979495,0.99752164,0.9975407
Non-Hodgkin_lymphoma,0.99785143,0.99852437,0.9983322,0.99843997,0.9961185,0.99749845,0.9967708,0.99825495,0.9976053,0.99691844,0.9964656,0.997297,0.9975422,0.99791044,0.99739885,0.9964675,0.9968951,0.9981394,0.9972589,0.998789,0.9978108,0.99880266,0.9988094,0.99696183,0.99816996,0.9984846,0.9967706,0.9979604,0.9976359,0.99844986,0.99878204,0.9950649,0.995799,0.9981296,0.99706835,0.997089,0.9972971,0.9968825,0.9973081,0.9983808,0.998023,0.9984495,0.998038,0.9976142,0.9967818,0.99688274,0.99753696,0.9961489,0.99825007,0.99764895,0.9986393,0.9972098,0.99853027,0.9956499,0.99732876,0.99880373,0.9964961,0.9977072,0.9968736,0.9970995,0.99717665,0.9984643,0.99863803,0.99800074,0.99597675,0.9987783,0.9981673,0.9981475,0.9982517,0.9998897,0.99805,0.99768627,0.99773663,0.9985465,0.9968327,0.99574685,0.99683887,0.99690175,0.9967779,0.9976134,0.99903756,0.9985392,0.99709684,0.9975458,0.999401,0.998777,0.99860984,0.9971307,0.9979721,0.99819225,0.9962352,0.99696845,0.99890935,0.99896955,0.997735,0.9974255,0.99831194,0.99904436,0.99781144,0.9993852,0.99825126,0.9987296,0.9972707,0.99811375,0.99848133,0.99999976,0.99893355,0.9973372,0.9960107,0.99822026,0.99736273,0.9982979,0.9981263,0.9989126,0.9984412,0.9991878,0.997393,0.99842507,0.9972386,0.99875844,0.9983518,0.9977397,0.99881774,0.9975475,0.99910074,0.995277,0.9971921,0.9982766,0.99774677,0.99896115,0.99879056,0.9983752,0.99747306,0.997515,0.9976422,0.9980424,0.99786335,0.99493563,0.99861413,0.99753803,0.99833536,0.99844056,0.9979168,0.9970008,0.99780005,0.9986158,0.9963859,0.9968685,0.9970892,0.99724716,0.99646914,0.9979739,0.9992077,0.99847144,0.9978849,0.99727523,0.9989028,0.9976222,0.9987664,0.997606,0.9990204,0.9965142,0.99809146,0.9970387,0.99884623,0.9982109,0.99864787,0.99816906,0.9987116,0.99835384,0.99773425,0.9985349,0.99736524,0.9964613,0.99616665
Non-melanoma_skin_cancer,0.99819076,0.998071,0.9984581,0.9985872,0.9957848,0.99799204,0.99736345,0.9982652,0.9978736,0.9968116,0.9970243,0.9977397,0.99792564,0.9983064,0.9979415,0.99675393,0.9972062,0.9979815,0.99751717,0.99963415,0.998092,0.9991756,0.9994312,0.99707407,0.998227,0.99944115,0.99659646,0.9983454,0.99834824,0.9988513,0.99964243,0.9954476,0.9957613,0.9983401,0.99705005,0.9969404,0.9980249,0.9968169,0.99786866,0.99844015,0.99860173,0.9985615,0.9982516,0.9975397,0.9970882,0.99736476,0.9978504,0.99582183,0.9978151,0.9974576,0.9990507,0.99780434,0.999703,0.99615103,0.9980255,0.9989363,0.99731606,0.9982739,0.99709857,0.99720407,0.9969664,0.99903905,0.99951375,0.99831426,0.9960127,0.9994686,0.998148,0.99832696,0.99804807,0.99898964,0.9985794,0.99772656,0.99793565,0.998758,0.99754673,0.9961487,0.9968847,0.9968253,0.99733484,0.99831516,0.9994634,0.9996513,0.99666,0.9972845,0.99881613,0.9997795,0.99941546,0.9978538,0.99867123,0.9983699,0.99612147,0.9968403,0.99927473,0.99921894,0.99824905,0.99735546,0.9980435,0.9991762,0.99789906,0.9987352,0.998151,0.99949986,0.9979572,0.9984297,0.9986514,0.99893355,0.9999999,0.9977564,0.99591774,0.9989979,0.9982796,0.9987065,0.9985766,0.9994487,0.99873495,0.9996237,0.99772507,0.99879503,0.9972569,0.99917895,0.99862504,0.99825406,0.9998357,0.998103,0.9993393,0.9954759,0.9973811,0.9983614,0.9982108,0.99951494,0.9995073,0.99877584,0.9977398,0.99775845,0.9977766,0.99836445,0.9980487,0.9952402,0.9993017,0.9978794,0.99850696,0.9985193,0.9982821,0.9969641,0.9980349,0.99865377,0.9969464,0.996827,0.997282,0.9975455,0.9969295,0.99812675,0.9993792,0.9994974,0.9985139,0.99752533,0.9990252,0.9976152,0.9994126,0.99793905,0.99964994,0.99682915,0.9980172,0.99676836,0.99947613,0.9983847,0.99904794,0.9979118,0.99960893,0.99818164,0.9983017,0.99853265,0.9978377,0.9962522,0.9960454
Non-rheumatic_valvular_heart_disease,0.9974841,0.9977003,0.9977137,0.9983929,0.9950946,0.9979052,0.9967628,0.99742997,0.9972258,0.99671376,0.99652547,0.9992859,0.9980539,0.99780446,0.99922216,0.9963635,0.99690855,0.9975517,0.99708116,0.99791396,0.9981332,0.9977684,0.9977461,0.9968723,0.99910736,0.9975747,0.99608964,0.9984973,0.9982418,0.9984696,0.99796605,0.99497545,0.99588627,0.9988223,0.9967904,0.9965106,0.99824595,0.99609107,0.99743336,0.99755716,0.9982801,0.99784625,0.9980225,0.9968863,0.99716944,0.9968317,0.99726546,0.9953658,0.9972439,0.9989252,0.998476,0.9977816,0.99796355,0.9958039,0.9983096,0.9977877,0.99732333,0.9980569,0.99623036,0.9976655,0.9961917,0.99854743,0.9979035,0.9979009,0.9955177,0.998172,0.997561,0.99827397,0.9981107,0.9976375,0.9988442,0.9974654,0.9978267,0.9981198,0.99812233,0.99582076,0.99612635,0.9962158,0.9967693,0.99898946,0.99800485,0.99797875,0.995797,0.9967109,0.9973489,0.99764425,0.99782073,0.99783814,0.999054,0.9979794,0.99545443,0.99634933,0.99805945,0.99748373,0.9981314,0.9967973,0.99783206,0.99781924,0.9973246,0.9974582,0.9976697,0.99761486,0.99798167,0.99837583,0.996986,0.9973372,0.9977564,1.0000002,0.99525744,0.9980438,0.9982117,0.99928755,0.9984161,0.99852467,0.9981321,0.9978963,0.99731886,0.99864537,0.9966109,0.99800694,0.99842346,0.9977898,0.99783105,0.997994,0.99818456,0.99576044,0.9976126,0.99766445,0.9979657,0.99763525,0.99775374,0.99844474,0.9981348,0.997222,0.99691254,0.99766517,0.9974628,0.99509585,0.9978726,0.99773216,0.9978439,0.9976391,0.9984677,0.9961305,0.99934715,0.9980327,0.9970987,0.9962433,0.99642056,0.99700505,0.99653894,0.9973686,0.99779904,0.9974618,0.998902,0.99751323,0.9977114,0.99710035,0.9978814,0.99727094,0.99785876,0.9964537,0.9974937,0.9963741,0.9985001,0.997989,0.99872935,0.9974685,0.99790543,0.99756014,0.9984501,0.99734277,0.9971377,0.9955155,0.99534684
Onchocerciasis,0.99710613,0.995973,0.99703467,0.99720114,0.99852514,0.9965583,0.9960826,0.9968843,0.9965118,0.9979291,0.9955958,0.99512684,0.9957205,0.9969341,0.99555033,0.99556786,0.99620026,0.99765724,0.9959647,0.9961643,0.9969017,0.99628955,0.99666005,0.99734396,0.99617016,0.99688536,0.99821115,0.9961491,0.9963418,0.99654585,0.9963824,0.9943511,0.99669963,0.9966635,0.9976096,0.99844825,0.99666077,0.9983774,0.99642026,0.99738455,0.996781,0.99774396,0.99720323,0.9976312,0.9971655,0.996478,0.99648815,0.99767494,0.9975554,0.9961771,0.99694294,0.99665266,0.9954224,0.99711204,0.99631304,0.9961556,0.99609166,0.99685764,0.9990027,0.995961,0.99732226,0.9960953,0.9954722,0.9969549,0.9989121,0.9967373,0.99794126,0.99694216,0.99729925,0.996283,0.9965656,0.99674094,0.99654263,0.9968093,0.9954764,0.99610883,0.9991709,0.9975093,0.99701864,0.9956019,0.9957879,0.9957709,0.9985824,0.998311,0.99649215,0.99640155,0.99588925,0.99615514,0.996718,0.9976534,0.9997424,0.9989449,0.9961763,0.99678516,0.99688214,0.9980685,0.997457,0.996512,0.996826,0.9962526,0.99691445,0.99625534,0.996063,0.9971778,0.99631417,0.9960107,0.99591774,0.99525744,1.0000004,0.99702084,0.9960352,0.9966187,0.99677,0.99687004,0.9976691,0.9964366,0.9966686,0.9968897,0.99894017,0.99617755,0.9970695,0.9970315,0.99586225,0.9966641,0.9973796,0.99609727,0.99661624,0.9979805,0.9968515,0.9962524,0.9959375,0.99628276,0.99552214,0.996358,0.9972704,0.99705786,0.997613,0.9960453,0.99630886,0.9968455,0.99710774,0.9969578,0.9967869,0.9982341,0.9969665,0.99680686,0.9968315,0.9986423,0.9990551,0.996221,0.9959986,0.99773186,0.9960658,0.9954667,0.9964702,0.9969629,0.9962522,0.99764186,0.9960062,0.99454993,0.9961251,0.99869514,0.9981696,0.9980097,0.9967506,0.99766666,0.9966742,0.9971168,0.9964856,0.9974246,0.9954679,0.9975317,0.99741364,0.99844164,0.9976781
