MeSH Terms,All of Us,Estonian Biobank,FinnGen,Million Veteran Program,UK Biobank
deafness,2,0,0,1,5
death,0,0,0,1,3
death certificates,0,0,0,0,3
death domain receptor signaling adaptor proteins,0,0,0,1,0
"death, sudden",0,0,0,2,1
"death, sudden, cardiac",3,0,3,47,9
deceleration,0,0,0,0,1
deception,2,0,0,0,0
decerebrate state,0,0,0,2,0
decision making,7,0,0,1,2
"decision making, computer-assisted",0,0,0,1,0
"decision making, organizational",0,0,0,0,1
"decision support systems, clinical",1,0,0,0,0
"decision support systems, management",1,0,0,0,0
decision support techniques,2,0,0,1,6
decision trees,0,0,0,0,2
"decompression, surgical",0,0,0,1,0
deep learning,1,0,0,4,68
default mode network,0,0,0,0,2
defense mechanisms,1,0,0,0,0
"defibrillators, implantable",0,0,0,21,0
"defoliants, chemical",0,0,0,1,0
dehumanization,2,0,0,0,0
dehydroascorbic acid,0,0,0,1,0
dehydroepiandrosterone sulfate,0,0,0,0,2
delay discounting,0,0,0,0,1
delayed diagnosis,0,0,0,0,2
delayed-action preparations,0,0,0,1,0
delirium,0,0,2,0,9
delivery of health care,18,0,0,2,7
"delivery of health care, integrated",1,0,0,0,0
"delivery, obstetric",0,0,1,2,0
delta-5 fatty acid desaturase,0,0,1,0,7
delusions,0,0,0,0,2
dementia,11,0,3,6,235
"dementia, vascular",0,0,3,1,58
democracy,1,0,0,0,0
demography,2,0,0,0,11
dendrimers,0,0,0,2,0
dendritic cells,0,0,2,6,0
denervation,0,0,0,1,0
denmark,1,0,0,0,16
dental care,1,0,0,1,0
dental care for chronically ill,1,0,0,2,0
dental caries,0,0,1,0,3
dental casting technique,1,0,0,0,0
"dental implantation, endosseous",0,0,0,2,0
dental implants,0,0,0,1,0
dental marginal adaptation,1,0,0,0,0
dental pins,1,0,0,0,0
dental prosthesis design,1,0,0,0,0
"dental prosthesis, implant-supported",0,0,0,2,0
dental research,1,0,0,0,2
dentate gyrus,0,0,0,1,1
dentist-patient relations,2,0,0,0,0
dentistry,1,0,0,0,0
"dentistry, operative",1,0,0,0,0
dentists,2,0,0,2,0
"denture, complete",0,0,0,1,0
"denture, complete, lower",0,0,0,1,0
"denture, overlay",0,0,0,2,0
dentures,1,0,0,0,1
deoxycytidine,0,0,0,3,0
deoxyribonuclease (pyrimidine dimer),0,0,1,0,0
depersonalization,1,0,0,0,0
depression,18,1,24,11,265
"depression, postpartum",1,0,5,0,0
depressive disorder,0,0,1,2,18
"depressive disorder, major",2,1,22,6,179
"depressive disorder, treatment-resistant",0,0,0,0,2
dermatitis,1,0,0,0,0
dermatitis herpetiformis,1,0,0,0,0
"dermatitis, allergic contact",1,0,0,0,0
"dermatitis, atopic",17,2,13,0,21
"dermatitis, seborrheic",1,0,0,0,1
dermatology,3,0,0,0,0
dermatomyositis,2,0,0,0,0
desmocollins,0,1,1,0,1
desmoplakins,0,0,0,1,0
developed countries,0,0,0,0,1
developing countries,2,0,0,2,0
developmental biology,2,0,0,0,1
developmental disabilities,3,0,0,0,3
developmental dysplasia of the hip,0,0,0,0,1
device removal,0,0,0,2,0
dexamethasone,0,0,0,1,0
diabetes complications,0,0,3,4,11
diabetes mellitus,9,0,16,8,151
"diabetes mellitus, experimental",0,0,0,2,0
"diabetes mellitus, type 1",2,0,31,3,40
"diabetes mellitus, type 2",17,6,92,26,635
"diabetes, gestational",0,0,18,2,14
diabetic angiopathies,0,0,3,1,18
diabetic cardiomyopathies,0,0,0,0,3
diabetic foot,0,0,1,1,1
diabetic nephropathies,0,0,16,0,22
diabetic neuropathies,0,0,6,0,10
diabetic retinopathy,3,0,21,2,30
diacylglycerol kinase,0,0,0,0,1
"diagnosis, computer-assisted",1,0,0,1,1
"diagnosis, differential",6,0,0,13,0
"diagnosis, dual (psychiatry)",0,0,0,1,0
"diagnosis, oral",0,0,0,0,2
diagnostic and statistical manual of mental disorders,1,0,0,4,3
diagnostic errors,0,0,0,1,2
diagnostic imaging,0,0,0,2,4
diagnostic self evaluation,0,0,0,0,2
diagnostic techniques and procedures,1,0,0,0,1
"diagnostic techniques, cardiovascular",0,0,0,1,0
"diagnostic techniques, ophthalmological",0,0,0,0,2
"diagnostic tests, routine",0,0,0,0,1
dialysis,0,0,0,1,0
"diarrhea, infantile",0,0,1,0,0
diastole,0,0,0,6,4
dichlorodiphenyl dichloroethylene,0,0,0,1,0
"dictionaries, medical as topic",0,0,0,1,0
diet,2,1,18,10,290
diet records,0,0,0,0,5
diet surveys,0,0,0,0,8
"diet, carbohydrate-restricted",0,0,0,0,1
"diet, gluten-free",0,0,0,0,3
"diet, healthy",0,0,0,3,26
"diet, high-fat",0,0,0,1,4
"diet, mediterranean",0,0,0,1,29
"diet, plant-based",0,0,0,0,7
"diet, protein-restricted",1,0,0,0,0
"diet, vegan",0,0,0,0,2
"diet, vegetarian",0,0,0,0,17
"diet, western",0,0,0,0,1
dietary advanced glycation end products,0,0,0,0,1
dietary approaches to stop hypertension,0,0,0,2,6
dietary carbohydrates,0,0,0,0,12
dietary exposure,0,0,0,1,1
dietary fats,0,0,0,2,16
"dietary fats, unsaturated",0,0,0,1,0
dietary fiber,0,0,0,0,15
dietary proteins,1,0,1,0,15
dietary sugars,0,0,0,0,6
dietary supplements,1,0,5,3,59
dietetics,1,0,0,0,0
diethylhexyl phthalate,0,0,0,0,1
diffusion,0,0,0,2,0
diffusion magnetic resonance imaging,0,0,0,0,25
diffusion of innovation,0,0,0,1,2
diffusion tensor imaging,0,0,0,0,40
digeorge syndrome,0,1,0,0,2
digestion,1,0,0,0,0
digestive system,0,0,0,1,1
digestive system diseases,0,0,3,0,12
digestive system neoplasms,0,0,4,0,11
digestive system surgical procedures,0,0,0,0,1
digital health,2,0,0,0,0
dihydrouracil dehydrogenase (nadp),1,0,0,0,0
dilatation,0,0,0,1,0
"dilatation, pathologic",1,0,0,6,2
dimensional measurement accuracy,0,0,0,1,0
dimerization,0,0,0,3,0
dinosaurs,1,0,0,0,0
dioxygenases,0,0,0,0,9
dipeptidyl-peptidase iv inhibitors,0,0,1,0,1
dipeptidyl-peptidases and tripeptidyl-peptidases,0,0,0,0,1
diphosphonates,0,0,0,4,0
diploidy,0,0,0,3,0
dipyridamole,0,0,0,1,0
disability evaluation,1,0,1,1,0
disaster planning,5,0,0,0,0
disasters,1,0,0,0,0
disclosure,1,0,0,0,1
discoidin domain receptor 1,0,0,0,1,0
disease,3,0,2,0,21
disease hotspot,0,0,0,0,3
disease management,0,0,0,2,0
"disease models, animal",1,0,4,26,13
disease outbreaks,7,0,0,1,1
disease progression,1,0,2,35,48
disease susceptibility,1,2,1,1,28
"disease transmission, infectious",1,0,0,2,0
disease-free survival,0,0,0,22,5
disinfection,0,0,0,1,0
disks large homolog 4 protein,0,0,0,0,1
disorders of excessive somnolence,0,0,1,0,17
disorders of sex development,0,0,0,0,1
dissent and disputes,1,0,0,0,0
district of columbia,0,0,0,1,0
disulfiram,1,0,0,0,0
diterpenes,0,0,0,3,0
diuretics,0,0,0,0,5
diverticular diseases,0,0,3,0,4
diverticulitis,1,0,0,0,1
dizocilpine maleate,0,0,0,1,0
dizziness,0,0,0,2,0
dna,3,0,0,5,12
dna (cytosine-5-)-methyltransferases,0,0,0,1,3
"dna breaks, double-stranded",0,0,0,4,0
dna copy number variations,0,1,5,4,51
dna damage,1,0,0,6,2
dna fingerprinting,0,0,0,0,1
dna glycosylases,0,0,0,0,2
dna helicases,0,0,1,1,4
dna methylation,2,0,6,8,25
dna methyltransferase 3a,0,0,0,1,3
dna methyltransferase 3b,0,0,0,0,1
dna mismatch repair,0,0,0,1,1
dna modification methylases,0,0,0,0,1
dna mutational analysis,0,0,0,4,6
dna primers,0,0,0,7,0
dna repair,1,0,1,4,5
dna repair enzymes,0,0,0,0,3
dna repeat expansion,0,0,0,0,1
dna replication,0,0,0,1,0
"dna topoisomerases, type ii",0,0,0,2,0
"dna, ancient",1,1,0,0,3
"dna, bacterial",1,0,0,4,0
"dna, complementary",0,0,0,5,0
"dna, helminth",0,0,0,1,0
"dna, mitochondrial",0,0,5,1,30
"dna, neoplasm",0,0,0,2,1
"dna, ribosomal",0,0,0,0,1
"dna, viral",0,0,0,2,0
dna-(apurinic or apyrimidinic site) lyase,0,0,0,0,1
dna-binding proteins,0,0,2,17,27
dna-directed rna polymerases,0,0,0,1,0
dobutamine,0,0,0,2,0
docetaxel,0,0,0,7,0
docosahexaenoic acids,0,0,2,1,9
documentation,1,0,0,0,1
dog diseases,0,0,0,14,1
dogs,0,0,0,19,4
dolphins,0,0,0,1,0
domestic violence,1,0,0,0,0
"dominance, ocular",0,0,0,1,0
donor selection,0,0,0,0,1
dopamine,0,0,0,2,2
dopamine antagonists,0,0,0,1,0
dopamine plasma membrane transport proteins,0,0,0,0,2
"dosage compensation, genetic",0,0,0,0,1
"dose fractionation, radiation",0,0,0,2,0
"dose-response relationship, drug",1,0,0,19,5
"dose-response relationship, radiation",1,0,0,3,1
double-blind method,0,0,0,1,2
down syndrome,0,0,0,3,0
down-regulation,0,0,0,14,2
doxorubicin,0,0,0,21,0
drainage,0,0,0,1,0
drinking,1,0,3,0,3
drinking behavior,0,0,0,0,9
dronabinol,0,0,0,0,1
drosophila,0,0,0,1,1
drosophila melanogaster,0,0,0,0,1
drosophila proteins,0,0,0,1,0
drug administration routes,0,0,0,1,0
drug administration schedule,1,0,0,9,1
drug approval,1,0,0,0,0
drug carriers,0,0,0,3,0
drug combinations,1,0,0,2,2
drug costs,0,0,0,1,2
drug delivery systems,1,0,2,9,3
drug design,1,0,0,1,0
drug development,1,0,0,1,0
drug discovery,1,0,0,1,6
drug eruptions,1,0,1,0,0
drug evaluation,1,0,0,0,0
"drug evaluation, preclinical",1,0,0,1,0
drug hypersensitivity,1,0,0,0,1
drug industry,1,0,0,0,0
drug interactions,1,0,0,2,5
drug monitoring,1,0,0,2,0
drug packaging,1,0,0,0,0
drug prescriptions,0,0,0,0,4
drug repositioning,1,0,3,3,7
drug resistance,1,0,0,4,0
"drug resistance, bacterial",1,0,0,0,0
"drug resistance, multiple",1,0,0,45,0
"drug resistance, multiple, bacterial",0,0,0,1,0
"drug resistance, neoplasm",1,0,1,76,0
drug resistant epilepsy,0,0,0,2,0
"drug screening assays, antitumor",1,0,0,1,0
drug stability,0,0,0,3,0
drug storage,0,0,0,4,0
drug synergism,0,0,0,2,0
drug therapy,1,0,0,1,0
"drug therapy, combination",1,0,0,6,3
drug utilization,1,0,0,0,1
drug-eluting stents,1,0,0,2,0
drug-related side effects and adverse reactions,3,1,1,0,8
"drugs, chinese herbal",0,0,0,1,0
"drugs, essential",1,0,0,0,0
"drugs, generic",1,0,0,0,1
"drugs, investigational",1,0,0,0,1
ductus arteriosus,0,0,0,2,0
"ductus arteriosus, patent",0,0,0,9,0
duffy blood-group system,0,0,0,0,2
dugong,0,0,0,1,0
duodenal neoplasms,0,0,0,1,0
duodenal ulcer,0,0,1,0,3
duodenitis,0,0,0,0,1
duodenum,0,0,0,1,0
dupuytren contracture,0,0,1,0,6
dura mater,0,0,0,5,0
duration of therapy,0,0,0,0,1
dust,1,0,1,0,7
duty to recontact,0,0,1,0,0
dydrogesterone,0,0,0,15,0
dyrk kinases,0,0,0,0,1
dysarthria,0,0,0,1,0
dysbiosis,0,1,5,0,6
dyslexia,0,0,0,0,1
dyslipidemias,0,0,5,1,27
dysmenorrhea,0,0,1,0,1
dyspareunia,0,0,0,3,0
dyspepsia,0,0,3,1,2
dyspnea,0,0,0,0,1
dystonia,0,0,0,0,2
dystonic disorders,0,0,0,0,3
dystrophin-associated proteins,0,0,0,1,1
e-box elements,0,0,0,1,0
ear diseases,1,0,0,1,0
"ear, inner",1,0,0,0,0
"ear, middle",0,0,1,1,0
early ambulation,0,0,0,1,0
early detection of cancer,4,3,2,5,30
early diagnosis,0,1,0,0,4
earthquakes,1,0,0,0,0
east asian people,0,0,12,1,25
eating,0,0,1,0,22
ebolavirus,0,0,0,1,0
ebstein anomaly,0,0,0,1,0
echinococcosis,1,0,0,2,0
echinococcus granulosus,1,0,0,0,0
echinococcus multilocularis,0,0,0,1,0
echocardiography,0,0,0,165,7
"echocardiography, doppler",0,0,0,27,0
"echocardiography, doppler, color",0,0,0,24,0
"echocardiography, doppler, pulsed",0,0,0,5,0
"echocardiography, stress",0,0,0,3,0
"echocardiography, three-dimensional",0,0,0,30,0
"echocardiography, transesophageal",0,0,0,34,0
eclampsia,0,0,7,0,1
ecological and environmental phenomena,1,0,0,0,0
economic status,0,0,0,0,3
ecosystem,3,0,1,4,2
ecotoxicology,0,0,0,1,0
ectodermal dysplasia,0,0,0,0,1
eczema,3,0,1,0,5
edema,0,0,0,2,0
edible grain,0,0,0,0,6
editorial policies,2,0,0,0,0
education,2,0,0,0,2
"education, dental",3,0,0,0,0
"education, distance",3,0,0,0,0
"education, medical",5,0,0,3,1
"education, medical, continuing",5,0,0,0,0
"education, medical, graduate",2,0,0,0,0
"education, medical, undergraduate",4,0,0,0,0
"education, nursing",2,0,0,0,0
"education, nursing, baccalaureate",1,0,0,0,0
"education, nursing, continuing",4,0,0,1,0
"education, nursing, graduate",1,0,0,0,0
"education, veterinary",4,0,0,0,0
educational measurement,1,0,0,1,0
educational status,6,1,9,1,76
educational technology,3,0,0,0,0
edwardsiella ictaluri,0,0,0,1,0
ef hand motifs,0,0,0,1,0
"effect modifier, epidemiologic",0,0,0,0,1
efficiency,0,0,0,0,1
"efficiency, organizational",0,0,0,1,0
egf family of proteins,0,0,0,0,1
eggs,0,0,0,3,1
ego,2,0,0,0,0
ehlers-danlos syndrome,0,0,0,5,0
eicosapentaenoic acid,0,0,0,1,6
eif-2 kinase,0,0,0,1,0
elasticity,0,0,0,4,2
elasticity imaging techniques,1,0,0,1,3
elastin,0,0,0,0,1
elder abuse,2,0,0,0,0
elective surgical procedures,0,0,0,3,0
electric countershock,0,0,0,5,0
electric impedance,0,0,0,2,14
electric injuries,1,0,0,1,0
electric power supplies,0,0,0,0,1
electric stimulation,0,0,0,7,0
electric stimulation therapy,0,0,0,1,0
electrical equipment and supplies,1,0,0,0,0
electricity,1,0,0,0,0
electrocardiography,3,0,1,71,31
"electrocardiography, ambulatory",0,0,0,20,0
electrodes,1,0,0,3,0
"electrodes, implanted",0,0,0,3,0
electroencephalography,2,0,0,2,2
electrolytes,0,0,0,1,2
electromagnetic phenomena,2,0,0,0,0
electromagnetic radiation,1,0,0,0,0
electromyography,0,0,0,1,0
electron transport complex iv,0,0,0,0,1
electronic data processing,0,0,0,0,3
electronic health records,39,11,0,14,59
electronic mail,2,0,0,0,2
electronic nicotine delivery systems,1,0,0,1,1
electronics,0,0,0,1,1
electrons,0,0,0,2,0
electrophoresis,0,0,0,1,0
"electrophoresis, agar gel",0,0,0,2,0
"electrophoresis, gel, two-dimensional",0,0,0,2,0
"electrophoresis, polyacrylamide gel",0,0,0,4,0
electrophoretic mobility shift assay,0,0,0,1,0
"electrophysiologic techniques, cardiac",0,0,0,2,0
electrophysiology,0,0,1,1,1
electroretinography,0,0,0,0,1
elements,0,0,1,0,1
eligibility determination,0,0,0,0,1
embolic stroke,0,0,0,0,6
embolism,0,0,1,1,1
"embolization, therapeutic",0,0,0,23,0
embryo research,0,0,0,0,1
embryo transfer,0,0,0,16,0
"embryo, mammalian",1,0,0,2,0
"embryo, nonmammalian",1,0,0,1,0
embryology,1,0,0,0,0
embryonic development,0,0,1,2,0
embryonic stem cells,0,0,0,0,1
emergencies,3,0,0,3,0
emergency medical services,2,0,0,1,0
emergency medical technicians,0,0,0,0,1
emergency medicine,1,0,0,0,0
"emergency service, hospital",4,0,0,1,0
emergency treatment,1,0,0,0,0
emigrants and immigrants,2,0,0,0,0
emigration and immigration,1,0,0,0,1
emollients,0,0,0,0,1
emotional abuse,0,0,0,0,1
emotions,6,0,0,3,9
empathy,6,0,0,0,0
employee incentive plans,1,0,0,0,0
employment,2,0,0,3,6
encephalitis,0,0,0,0,1
"encephalitis, viral",0,0,0,0,1
end stage liver disease,1,0,0,1,0
endangered species,0,0,0,3,0
"endarterectomy, carotid",1,0,0,0,0
endocannabinoids,0,0,0,0,1
endocardial cushion defects,0,0,0,1,0
endocarditis,0,0,0,17,0
"endocarditis, bacterial",0,0,0,17,0
"endocarditis, subacute bacterial",0,0,0,1,0
endocardium,0,0,0,1,0
endocrine glands,0,0,0,0,1
endocrine system,2,0,0,0,0
endocrine system diseases,1,0,0,1,1
endocrinology,1,0,0,0,1
endocytosis,0,0,0,1,1
endometrial neoplasms,1,0,2,1,26
endometriosis,0,1,14,1,12
endometritis,0,0,0,0,1
endometrium,0,0,0,2,1
endonucleases,0,0,0,1,2
endopeptidases,1,0,0,0,0
endophenotypes,0,0,0,0,8
endoplasmic reticulum stress,0,0,0,1,0
endoplasmic reticulum-associated degradation,0,0,0,0,1
endoscopic mucosal resection,0,0,0,1,0
endoscopy,0,0,0,4,0
"endoscopy, digestive system",0,0,0,1,0
"endoscopy, gastrointestinal",0,0,0,2,0
endosonography,1,0,0,0,0
endothelial cells,0,1,1,7,6
endothelial protein c receptor,0,0,0,0,1
endothelin receptor antagonists,1,0,0,0,0
endothelin-converting enzymes,0,0,1,0,1
endothelium,1,0,0,1,0
"endothelium, corneal",0,0,0,1,0
"endothelium, vascular",1,0,0,6,1
endotoxemia,0,0,1,0,0
endotoxins,0,0,0,5,0
endovascular aneurysm repair,0,0,0,1,0
endovascular procedures,0,0,0,6,0
endpoint determination,0,0,0,1,1
energy intake,1,0,0,1,17
energy metabolism,2,0,0,2,7
enfuvirtide,1,0,0,1,0
engineering,1,0,0,0,0
england,7,1,0,4,39
"enhancer elements, genetic",0,1,0,0,3
enhancer of zeste homolog 2 protein,0,0,0,1,0
"enkephalin, methionine",0,0,0,1,0
enteritis,1,0,0,0,0
enterobacteriaceae infections,0,0,0,1,0
entorhinal cortex,0,0,0,0,2
entrepreneurship,1,0,0,0,0
entropy,1,0,0,0,0
environment,2,0,0,2,17
environment design,1,0,0,2,7
environmental exposure,8,0,2,2,191
environmental health,4,0,0,0,3
environmental monitoring,3,0,0,2,2
environmental pollutants,3,0,1,3,19
environmental pollution,2,0,0,1,1
enzyme activation,0,0,0,2,0
enzyme inhibitors,1,0,0,4,0
enzyme-linked immunosorbent assay,1,0,0,5,1
"enzymes, immobilized",0,0,0,1,0
eosinophilia,2,0,0,0,2
eosinophilic esophagitis,1,0,1,0,0
eosinophils,1,0,2,0,11
ependyma,0,0,0,1,0
ependymoma,0,0,0,1,0
epidemics,0,0,0,0,1
epidemiologic methods,0,0,0,2,3
epidemiologic research design,0,0,0,0,2
epidemiologic studies,0,0,0,1,8
epidemiology,0,0,0,0,3
epidermal growth factor,0,0,0,2,1
epidermis,0,0,0,1,0
"epigenesis, genetic",2,1,3,4,17
epigenome,0,0,0,1,3
epigenomics,0,0,1,1,3
"epilepsies, myoclonic",0,0,0,0,1
"epilepsies, partial",0,0,0,1,4
epilepsy,3,0,15,3,20
"epilepsy, frontal lobe",0,0,0,1,0
"epilepsy, generalized",0,0,2,0,3
"epilepsy, rolandic",0,0,0,0,1
"epilepsy, temporal lobe",0,0,0,4,0
"epilepsy, tonic-clonic",1,0,0,0,0
epinephrine,0,0,0,2,0
epiregulin,0,0,0,1,1
epiretinal membrane,0,0,1,2,0
"epistasis, genetic",2,0,1,1,20
epithelial cells,0,0,0,5,2
epithelial-mesenchymal transition,0,0,0,7,0
epithelioid cells,0,0,0,1,0
epithelium,0,0,0,1,2
epitopes,0,0,0,2,0
"epitopes, b-lymphocyte",0,0,0,1,0
"epitopes, t-lymphocyte",0,0,0,6,0
epoxide hydrolases,0,0,0,0,1
epstein-barr virus infections,0,0,2,1,9
equilibrative-nucleoside transporter 2,0,0,0,1,0
equipment and supplies,2,0,0,0,0
equipment design,2,0,0,25,3
equipment failure,0,0,0,3,0
equipment failure analysis,0,0,0,6,0
equipment safety,0,0,0,2,0
erbb receptors,1,0,1,6,2
erectile dysfunction,0,0,4,1,6
erg1 potassium channel,0,0,0,0,1
ergonomics,3,0,0,0,0
erythema multiforme,1,0,0,0,0
erythema nodosum,0,0,2,0,0
erythrocyte count,0,0,0,0,1
erythrocyte indices,0,0,0,1,7
erythrocytes,0,0,0,1,6
erythromelalgia,1,0,0,0,0
erythropoietin,0,0,0,1,0
escherichia coli,0,0,0,11,0
escherichia coli proteins,0,0,0,1,0
escitalopram,1,0,0,0,0
esophageal achalasia,1,0,1,0,0
esophageal and gastric varices,0,0,0,0,1
esophageal diseases,0,0,0,1,0
esophageal motility disorders,0,0,0,1,0
esophageal neoplasms,0,0,7,1,18
"esophageal sphincter, lower",0,0,1,0,1
esophageal squamous cell carcinoma,0,0,0,1,2
esophageal stenosis,1,0,0,0,0
esophagitis,0,0,0,1,0
esophagus,0,0,0,1,0
esotropia,0,0,1,0,0
essential hypertension,0,0,5,0,4
essential tremor,0,0,0,0,1
esters,0,0,1,0,2
"esthetics, dental",1,0,0,0,0
estonia,0,28,3,1,8
estradiol,0,0,6,1,26
estrogen receptor alpha,0,0,1,0,3
estrogen receptor beta,0,0,0,0,1
estrogen replacement therapy,0,0,0,0,4
estrogens,1,0,0,2,12
estrone,0,0,0,0,1
ethanol,1,0,5,4,18
ethanolamines,0,0,0,0,1
ether-a-go-go potassium channels,0,0,0,0,1
ethical analysis,2,0,0,0,0
ethical review,1,0,0,0,1
ethics committees,0,0,0,0,2
"ethics, dental",2,0,0,0,0
"ethics, medical",3,0,0,0,0
"ethics, research",2,0,0,1,3
ethidium,0,0,0,1,0
ethiopia,1,0,0,0,0
ethnic and racial minorities,3,0,0,0,1
ethnicity,29,0,2,12,69
ethylnitrosourea,1,0,0,0,0
etoposide,0,0,0,6,0
ets-domain protein elk-1,0,0,0,1,0
eubacterium,0,0,5,0,2
eukaryotic cells,0,0,0,1,0
eukaryotic initiation factor-3,0,0,0,0,1
eukaryotic initiation factor-4g,0,0,1,0,0
europe,3,2,8,7,53
"europe, eastern",0,0,0,0,1
european people,2,0,5,1,20
european union,1,0,0,1,1
eustachian tube,0,0,1,0,0
euthanasia,2,0,0,0,0
evaluation studies as topic,0,0,0,1,0
evidence-based medicine,7,0,0,7,2
evidence-based practice,1,0,0,0,1
evoked potentials,1,0,0,1,0
"evoked potentials, motor",0,0,0,1,0
"evolution, chemical",0,0,0,1,0
"evolution, molecular",0,0,0,4,6
excitatory amino acid antagonists,0,0,0,1,0
excitatory postsynaptic potentials,0,0,0,1,0
executive function,0,0,0,0,12
exercise,8,0,16,74,316
exercise test,0,0,0,13,7
exercise therapy,0,0,0,3,2
exercise tolerance,0,0,0,2,1
exfoliation syndrome,0,0,3,0,1
exocytosis,0,0,0,1,0
exodeoxyribonucleases,0,0,0,0,1
exome,2,0,3,2,87
exome sequencing,1,0,8,3,91
exons,0,0,1,2,6
exonucleases,0,0,0,0,1
exoribonucleases,0,0,0,0,1
exosomes,0,0,0,2,2
exotropia,0,0,1,0,0
expectorants,0,0,0,1,0
expert testimony,1,0,0,0,0
explosions,1,0,0,0,0
exportin 1 protein,0,0,0,0,1
exposome,0,0,0,1,9
expressed emotion,2,0,0,0,0
"extinction, biological",0,0,0,4,0
extracellular fluid,0,0,0,2,0
extracellular matrix,1,0,0,7,2
extracellular matrix proteins,0,0,2,2,10
extracellular signal-regulated map kinases,0,0,0,5,0
extracellular space,0,0,0,1,0
extracellular traps,0,0,1,0,2
extracellular vesicles,0,0,0,1,0
extracorporeal circulation,0,0,0,1,0
extracorporeal membrane oxygenation,1,0,0,0,0
extraembryonic membranes,0,0,0,1,0
extravasation of diagnostic and therapeutic materials,0,0,0,1,0
"extraversion, psychological",0,0,0,0,1
extremities,0,0,0,1,0
eye,0,0,2,0,2
eye color,1,0,0,0,0
eye diseases,0,0,4,0,7
eye movements,0,0,0,3,0
eye neoplasms,0,0,0,1,0
eye proteins,0,0,2,0,7
eyeglasses,0,0,0,0,4
ezetimibe,0,0,0,0,2
fabaceae,0,0,0,0,1
fabry disease,0,0,0,0,1
face,0,0,0,2,5
facial expression,0,0,0,0,1
facial nerve diseases,0,0,0,1,0
facial paralysis,0,0,0,1,0
facies,0,0,1,1,0
facility design and construction,1,0,0,0,1
factitious disorders,1,0,0,0,0
"factor analysis, statistical",1,0,0,3,4
factor v,0,0,1,1,5
factor viii,0,0,0,1,1
factor xa inhibitors,0,0,0,1,1
factor xi,0,0,0,0,2
faculty,1,0,0,0,0
"faculty, dental",2,0,0,0,0
"faculty, medical",0,0,0,1,0
"faculty, nursing",1,0,0,0,0
fallopian tube neoplasms,0,0,0,0,1
false negative reactions,0,0,0,0,1
false positive reactions,0,0,0,2,3
familial primary pulmonary hypertension,0,0,1,0,0
family,6,0,0,2,12
family characteristics,1,0,0,0,5
family health,0,0,0,1,2
family planning services,1,0,0,0,0
family practice,8,0,0,0,1
family relations,2,0,0,0,0
famine,0,0,0,0,2
famous persons,2,0,0,0,0
fanconi anemia,0,0,0,1,1
fanconi anemia complementation group n protein,0,0,1,0,3
fanconi anemia complementation group proteins,0,0,0,0,2
fantasy,1,0,0,0,0
farmers,1,0,0,3,1
farms,0,0,0,1,0
farnesol,0,0,0,2,0
farnesyltranstransferase,1,0,0,0,0
fast foods,0,0,0,1,21
fasting,0,0,1,0,9
"fat emulsions, intravenous",0,0,0,4,0
fatal outcome,1,0,0,4,0
father-child relations,1,0,0,0,0
fathers,0,0,0,0,2
fatigue,0,0,0,1,6
"fatigue syndrome, chronic",1,0,0,0,6
fatty acid desaturases,0,0,0,0,6
fatty acid-binding proteins,0,0,0,0,2
fatty acids,0,0,7,1,28
"fatty acids, monounsaturated",0,0,0,0,4
"fatty acids, omega-3",0,0,7,2,40
"fatty acids, omega-6",0,0,3,0,12
"fatty acids, unsaturated",0,0,3,0,20
"fatty acids, volatile",0,0,1,0,2
fatty liver,1,0,5,2,28
"fatty liver, alcoholic",0,0,0,0,3
fear,2,0,0,0,0
feasibility studies,3,0,0,19,4
feces,0,1,0,1,1
federal government,2,0,0,0,0
feedback,2,0,0,0,0
"feedback, sensory",1,0,0,1,0
feeding and eating disorders,4,0,1,1,2
feeding behavior,1,1,2,1,38
fellowships and scholarships,2,0,0,0,0
female,287,37,379,955,3970
femininity,0,0,0,0,1
feminism,2,0,0,0,0
femoracetabular impingement,1,0,0,0,0
femoral artery,0,0,0,2,0
femoral neck fractures,0,0,0,0,1
femoral vein,0,0,0,2,0
femur,0,0,0,1,3
femur neck,0,0,2,0,12
fenofibrate,0,0,0,0,1
fermentation,0,0,0,2,1
ferritins,0,0,4,0,4
ferrochelatase,0,0,0,0,1
ferroptosis,0,0,0,2,2
fertility,1,0,0,0,10
"fertility agents, female",0,0,0,1,0
fertilization,0,0,0,2,0
fertilization in vitro,0,0,0,12,2
fertilizers,0,0,0,2,0
fetal blood,0,0,0,1,0
fetal death,0,0,0,1,0
fetal development,0,0,0,0,4
fetal diseases,1,0,0,0,0
fetal distress,0,0,0,2,0
fetal growth retardation,0,0,4,2,0
fetal heart,0,0,0,1,0
"fetal membranes, premature rupture",0,0,1,3,1
fetal monitoring,1,0,0,0,0
fetal therapies,0,0,0,2,0
fetal viability,3,0,0,0,0
fetal weight,0,0,0,1,0
fetofetal transfusion,0,0,0,11,0
fetoscopy,0,0,0,5,0
fetuin-b,0,0,0,0,1
fetus,1,0,0,5,1
fever,1,0,0,0,1
fibrillar collagens,0,0,0,0,2
fibrillin-1,0,0,0,4,0
fibrillin-2,0,0,1,0,1
fibrillins,0,0,0,4,0
fibrin fibrinogen degradation products,0,0,0,1,0
fibrinogen,0,0,0,1,3
fibrinolysis,0,0,0,1,2
fibrinolytic agents,1,0,1,3,3
fibroblast growth factor 5,0,0,0,0,2
fibroblast growth factor-23,0,0,0,1,2
fibroblast growth factors,0,0,1,0,4
